,address,LAT,LONG
1787,93 BROOKLEY R,42.302646,-71.105737
512,89 BROOKLEY R,42.302733,-71.105845
2092,104 BROOKLEY R,42.302736,-71.105167
1017,75 BROOKLEY R,42.30299,-71.106215
196,4 MALCOLM R,42.303067,-71.129821
1188,84 BROOKLEY R,42.303104,-71.105815
2417,1175 BOYLSTON ST AND VINE ST,42.303108,-71.172737
1803,WHITCOMB AV AND LILA R,42.303157,-71.129621
2423,3 WHITCOMB AV,42.303157,-71.129621
815,16 HAMPSTEAD L,42.303257,-71.115941
1396,GENEVA AV AND TONAWANDA ST,42.30356,-71.07198
20,HAMPSTEAD R,42.30363,-71.116629
134,ELDON ST AND ROBKEN R,42.303797,-71.077041
560,BROOKLEY R,42.303817,-71.107041
1357,43 WESTCHESTER R,42.303887,-71.127021
1013,35 BROOKLEY R,42.303917,-71.107841
1358,74 WESTCHESTER R,42.303967,-71.128381
1340,WESTCHESTER R,42.304017,-71.128661
1239,62 BURNETT ST,42.304157,-71.110321
139,92 WESTCHESTER R,42.304187,-71.130111
357,46 BURNETT ST,42.304218,-71.110739
131,104 WESTCHESTER R,42.304237,-71.130651
3,45 BURNETT ST,42.304345,-71.110903
1302,128 WESTCHESTER R,42.304377,-71.131751
373,BURNETT ST,42.304386,-71.110364
2414,LILA R,42.304507,-71.129261
2434,LILA RD AND LOUDERS L,42.304507,-71.129261
2527,LILA RD AND WESTCHESTER R,42.304507,-71.129261
1496,5 BURNETT ST,42.30475,-71.109426
2448,9 RAMBLER R,42.304787,-71.125831
2305,2 BROOKLEY R,42.304921,-71.108641
1607,MATTAPAN ST AND RONALD ST,42.304932,-71.078012
1750,89 JAMAICA ST,42.30499,-71.116785
2519,26 ROSSMORE R,42.305077,-71.107161
1085,201 BOWDOIN ST AND TOPLIFF ST,42.305107,-71.068191
2452,34 LOUDERS L,42.305157,-71.126211
418,79 JAMAICA ST,42.305197,-71.117511
2351,FERNBORO ST AND BOWDOIN ST,42.305217,-71.067951
1938,PASADENA R,42.305287,-71.083051
2367,72 LOUDERS L,42.305357,-71.129071
2481,LOUDERS LA AND LILA R,42.305417,-71.128151
2278,NORTON ST AND IMBARO R,42.305747,-71.068431
643,24 JAMAICA ST,42.305804,-71.116762
390,MCBRIDE ST,42.305987,-71.112061
72,32 LYDON WY,42.306207,-71.060371
854,105 CALL ST,42.306411,-71.110958
308,BOWDOIN ST AND PERCIVAL ST,42.306477,-71.063491
1946,96 CALL ST,42.306481,-71.11073
1187,25 LYDON WY,42.306577,-71.060051
1602,37 LEE ST,42.306597,-71.111891
1092,2 LYDON WY,42.306714,-71.058724
1548,11 LYDON WY,42.306727,-71.059351
2085,6 WAYNE ST AND BEACON ST,42.30683,-71.084833
2097,46 CUSTER ST,42.307042,-71.118363
2235,45 CALL ST,42.307124,-71.110376
1288,28 CUSTER ST,42.307177,-71.117071
1826,26 CUSTER ST,42.307207,-71.116951
1192,SURREYHILL L,42.307237,-71.126421
882,CALL ST,42.307267,-71.110451
2318,18 CUSTER ST,42.307277,-71.116611
1919,19 LEE ST,42.307317,-71.111941
1760,2 SOUTH ST,42.307396,-71.152142
1306,CUSTER ST,42.307456,-71.11742
2328,29 CUSTER ST,42.307456,-71.11742
